()

------ PROCESSES AND THREADS (ps -A -T -Z -O pri,nice,rtprio,sched,pcy,time) ------
LABEL                          USER           PID   TID  PPID     VSZ    RSS WCHAN            ADDR S PRI  NI RTPRIO SCH PCY     TIME CMD            
u:r:vold:s0                    root          3203  3210     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3203_1
u:r:vold:s0                    root          3203  3211     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3203_2
u:r:vold:s0                    root          3203  3212     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3203_3
u:r:vold:s0                    root          3203  3268     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3203_2
u:r:vold:s0                    root          3203  3270     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3203_4
u:r:vold:s0                    root          3203  3324     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 HwBinder:3203_1
u:r:vold:s0                    root          3203  3491     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3203_5
u:r:hal_allocator_default:s0   system        3275  3275     1   13248   3516 0                   0 S  19   0      -   0  fg 00:00:00 allocator@1.0-s
u:r:hal_audio_default:s0       audioserver   3276  3276     1   37408  11184 0                   0 S  19   0      -   0  fg 00:00:02 audio@2.0-servi
u:r:hal_audio_default:s0       audioserver   3276  3331     1   37408  11184 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3276_1
u:r:hal_audio_default:s0       audioserver   3276  3339     1   37408  11184 0                   0 S  19   0      -   0  fg 00:00:00 Binder:3276_2
u:r:hal_audio_default:s0       audioserver   3276  3371     1   37408  11184 0                   0 S  19   0      -   0  fg 00:00:00 HwBinder:3276_1
u:r:hal_audio_default:s0       audioserver   3276  3452     1   37408  11184 0                   0 S  19   0      -   0  fg 00:00:00 HwBinder:3276_2
u:r:hal_audio_default:s0       audioserver   3276  6593     1   37408  11184 0                   0 S  43 -19      3   1  fg 00:00:00 writer
